Asset Tag,Asset Type,Asset Type Description,Site,Location,Serial No,Manufacturer,Model,Category,Category,Category,Category,Category,Category,Category,Category,Grade,Grade,Grade,Grade,Physics,Chemistry,Biology,Science,Math
1220,Microphone Probe,An attachment for the Vernier LabQuest.,Stephens Hall,STPH 120,,Vernier Software & Technology,MCA-BTA,,,,,,,,,,,,,,,,,
1221,Microphone Probe,An attachment for the Vernier LabQuest.,Stephens Hall,STPH 120,,Vernier Software & Technology,MCA-BTA,,,,,,,,,,,,,,,,,
1222,Microphone Probe,An attachment for the Vernier LabQuest.,Stephens Hall,STPH 120,,Vernier Software & Technology,MCA-BTA,,,,,,,,,,,,,,,,,
1223,Current Probe,A probe for use with the Vernier LabQuest for measuring currents in low voltage AC and DC circuits.,Stephens Hall,STPH 120,,Vernier Software & Technology,DCP-BTA,,,,,,,,,,,,,,,,,
1224,Current Probe,A probe for use with the Vernier LabQuest for measuring currents in low voltage AC and DC circuits.,Stephens Hall,STPH 120,,Vernier Software & Technology,DCP-BTA,,,,,,,,,,,,,,,,,
1225,Current Probe,A probe for use with the Vernier LabQuest for measuring currents in low voltage AC and DC circuits.,Stephens Hall,STPH 120,,Vernier Software & Technology,DCP-BTA,,,,,,,,,,,,,,,,,
1226,Current Probe,A probe for use with the Vernier LabQuest for measuring currents in low voltage AC and DC circuits.,Stephens Hall,STPH 120,,Vernier Software & Technology,DCP-BTA,,,,,,,,,,,,,,,,,
1227,Current Probe,A probe for use with the Vernier LabQuest for measuring currents in low voltage AC and DC circuits.,Stephens Hall,STPH 120,,Vernier Software & Technology,DCP-BTA,,,,,,,,,,,,,,,,,
1228,Current Probe,A probe for use with the Vernier LabQuest for measuring currents in low voltage AC and DC circuits.,Stephens Hall,STPH 120,,Vernier Software & Technology,DCP-BTA,,,,,,,,,,,,,,,,,
1229,Current Probe,A probe for use with the Vernier LabQuest for measuring currents in low voltage AC and DC circuits.,Stephens Hall,STPH 120,,Vernier Software & Technology,DCP-BTA,,,,,,,,,,,,,,,,,
1230,Current Probe,A probe for use with the Vernier LabQuest for measuring currents in low voltage AC and DC circuits.,Stephens Hall,STPH 120,,Vernier Software & Technology,DCP-BTA,,,,,,,,,,,,,,,,,
1231,Bio Chamber 250,A 250mL Nalgene bottle that can be used with the CO2 gas sensor and O2 gas sensor simultaneously.,Stephens Hall,STPH 120,,Vernier Software & Technology,BC-250,,,,,,,,,,,,,,,,,
1232,Bio Chamber 250,A 250mL Nalgene bottle that can be used with the CO2 gas sensor and O2 gas sensor simultaneously.,Stephens Hall,STPH 120,,Vernier Software & Technology,BC-250,,,,,,,,,,,,,,,,,
1233,Bio Chamber 250,A 250mL Nalgene bottle that can be used with the CO2 gas sensor and O2 gas sensor simultaneously.,Stephens Hall,STPH 120,,Vernier Software & Technology,BC-250,,,,,,,,,,,,,,,,,
